founder_id,investor_id,rating
1712,5641,1.0
2727,365,1.0
2727,556,1.0
2727,2171,1.0
2727,5639,1.0
2728,365,1.0
2728,556,1.0
2728,2171,1.0
2728,5639,1.0
2830,5641,1.0
4146,5641,3.0
5953,5641,2.0
5954,5641,2.0
6386,5641,1.0
6387,5641,1.0
6979,5616,1.0
6979,5640,1.0
6979,5698,1.0
6979,7193,5.0
6979,7194,2.0
6979,7195,1.0
7442,5641,1.0
7716,5641,1.0
8599,5641,1.0
9556,5640,1.0
29026,7194,2.0
29028,7194,2.0
29030,7194,2.0
29032,7194,2.0
29438,5641,1.0
29441,5641,1.0
29679,5641,1.0
30585,5641,1.0
30588,5641,1.0
32807,5641,1.0
32808,5641,1.0
34783,5641,2.0
40544,5616,1.0
40544,5640,1.0
40544,5698,1.0
40544,7193,5.0
40544,7194,2.0
40544,7195,1.0
40545,5616,1.0
40545,5640,1.0
40545,5698,1.0
40545,7193,5.0
40545,7194,2.0
40545,7195,1.0
40546,5616,1.0
40546,5640,1.0
40546,5698,1.0
40546,7193,5.0
40546,7194,2.0
40546,7195,1.0
40547,5616,1.0
40547,5640,1.0
40547,5698,1.0
40547,7193,5.0
40547,7194,2.0
40547,7195,1.0
40548,187,2.0
40549,187,2.0
40539,5641,2.0
